"","ERK_b1","EGFR","GRB2","PI3K","MEK_b1","AKT","SPRY","BRAF","GAB1","RAS","PTEN","EGF","HGF","SOS","MET","PDPK1","CRAF","p70_b1","FGF","FGFR2","FRS2","TSC2","mTOR","RHEB","ERBB3","FOXD3","SOX10","ERBB2","p21","p53","ATM","MDM2"
"451Lu",0.60224367347587,0.00193811777134484,0.358894663418974,0.5,0.507638384880912,0.844593782542334,0.687267472783973,0.64690086773546,0.5,0.20092401288312,0.686863357163565,0.164372093848988,NA,0.270498921635081,0.20025974031255,0.161390368907288,0.411870604106641,0.163475309977284,0.0399319821192265,0,0.154945990267178,0.388287758016918,0.840252070304551,0.79549087850873,0.39188339794302,3.7102007014863e-07,1,0.217547466845336,0.126577556537784,0.601119608385173,0.311070672874085,0.32278467127159
"A101D",0.334115417689392,0.421375116517006,0.564281942657294,0.5,0.692885007580144,0.661392258186292,0.666558076909732,0.64690086773546,0.219813347009543,0.471704131495303,0.134007382676316,0.465380870789426,NA,0.388287758016918,0.349606506315721,0.161390368907288,0.411870604106641,0.32278467127159,0.0632906942384417,0,0.5,0.67721532872841,0.790417922092561,0.913738206096719,0.623161286621967,0.999999981891419,2.35254205379216e-96,0.335181352192119,0.637256004537063,0.32278467127159,0.5,0.717293021039706
"A2058",0.342123390325642,0.00193811777134484,0.649021879880022,0.277816166751039,0.556601637913747,0.749999975079816,0.72231457757985,0.32278467127159,0.5,0.514404738840104,0.5,0.299623216190076,NA,0.388287758016918,0.367643332252101,0.161390368907288,0.582160650253424,0.694280834815402,0.0927191911671718,0,0.5,0.791284248958305,0.67721532872841,0.481867506197759,0.70344356672111,0.00250218075611077,2.35254205379216e-96,0.42731565471095,0.198031376700301,0.639862459165394,0.444260436716758,0.32278467127159
"A375",0.366446071316777,0.0362422474611415,0.594168284309893,0.5,0.466694714181038,0.603987856332617,0.78457219452653,0.5,0.219813347009543,0.556754820735967,0.415935327268172,0.243316831854136,NA,0.5,0.367643332252101,0.32278467127159,0.847424212445586,0.766480477982631,0.079863964238453,0,0.64690086773546,0.861194307915595,0.67721532872841,0.517636068113157,0.766285801665485,0.30378281394453,2.35254205379216e-96,0.42731565471095,0.5,0.5,0.5,0.534509292531828
"C2BBe1",0.667177493899967,0.993561085587027,0.757689172498938,0.67721532872841,0.411392335635795,0.103987943476039,0.375907277115012,0.826463000262987,0.939843399805633,0.452782760263968,0.572992885632229,0.395411714445084,NA,0.861194307915595,0.600821760183868,0.888561669630805,0.847424212445586,0.843016921769149,0.0567077105129162,1,0.974623215996909,0.270498921635081,0.347458044477189,0.688714099091299,0.545923722544941,3.7102007014863e-07,2.35254205379216e-96,0.7489833748057,0.235508813036296,0.0642789543350894,0.311070672874085,0.419776215050456
"C32",0.426230907729948,0.00193811777134484,0.5,0.277816166751039,0.5400184413704,0.933045866677751,0.800614337004026,0.8756528285784,0.5,0.416129040788287,0.0135807777499205,0.342950393837093,NA,0.5,0.401502846277849,0.5,0.769957444946584,0.653438742449045,0.0927191911671718,0,0.5,0.5,0.566893453202426,0.960289543563535,0.647709274002577,0.30378281394453,2.35254205379216e-96,0.279925378558447,0.740793239184198,0.408419745937597,0.444260436716758,0.732134559350941
"CaR-1",0.366905971018419,0.99994088376496,0.919854238752461,0.865103793383268,0.481851944677513,0.661392335369598,0.322387183702708,0.5,0.5,0.581739315743725,0.634938674894722,0.49229963662473,NA,0.861194307915595,0.665295853333703,0.32278467127159,0.322784671271591,0.84575022874371,0.079863964238453,0.528113530514417,0.64690086773546,0.5,0.347458044477189,0.364255377730366,0.0672478925608633,3.7102007014863e-07,2.35254205379216e-96,0.644551335738416,0.549862801865435,0.717546831410488,0.559827808003642,0.32278467127159
"CCK-81",0.547522560009894,0.888494254572269,0.790928582718538,0.277816166751039,0.411392335635795,0.344594927803791,0.282400240551621,0.5,0.5,0.417623223571615,0.730152176294355,0.402681760189823,NA,0.5,0.592343992736843,0.651697653232702,0.5,0.669304815546356,0,0.32381132869637,0.64690086773546,0.741093667382446,0.625963023503965,0.404883005275136,0.655416864952661,3.7102007014863e-07,2.35254205379216e-96,0.661585739230164,0.510117286934825,0.786310440607206,0.542894091145134,0.642944651483841
"CHL-1",0.59963338494174,0.00193811777134484,0.395040749034267,0.936606156080086,0.578809878165508,0.691535418066501,0.463760820237003,0.64690086773546,0.67721532872841,0.824219281338171,0.415935327268172,0.154464303936659,NA,0.67721532872841,0.659046355014818,0.651697653232702,0.411870604106641,0.669304815546356,0.0399319821192265,0.867860944159986,0.753494982760461,0.5,0.721177390180501,0.924101306091005,0.798046776446968,0.999661136192063,1,0.605502011989045,0.198031376700301,0.601119608385173,0.532868101080962,0.5
"CL-11",0.594444211832675,0.999609203523124,0.0849890775328021,0.5,0.486656072954849,0.7995448766586,0.72231457757985,0.753494982760461,0.219813347009543,0.591336192545439,0.415935327268172,0.506181198756805,NA,0.5,0.67721532872841,0.5,0.847424212445586,0.408285100286338,0.192871788237316,0.32381132869637,0.32278467127159,0.5,0.625963023503965,0.909065057725041,0.280417747047056,3.7102007014863e-07,2.35254205379216e-96,0.661585739230164,0.333107875342936,0.290553978322494,0.487241162252146,0.267865440649059
"CL-34",0.521487294708927,0.933785827426758,0.430829721994004,0.277816166751039,0.545768370818727,0.191535505983541,0.422688995873694,0.32278467127159,0.5,0.39980277764593,0.686863357163565,0.636305206844141,NA,0.597177659862195,0.564982683814468,0.5,0.322784671271591,0.575848826616351,0,0.204302201818047,0.32278467127159,0.597177659862195,0.625963023503965,0.463259560144868,0.662899047609307,3.7102007014863e-07,2.35254205379216e-96,0.758190548615477,0.489320526408463,0.739695448904841,0.411392335635795,0.419776215050456
"CL-40",0.625862999212015,0.888494254572269,0.395040749034267,0.277816166751039,0.496348645891239,0.161392422192637,0.511136275757487,0.154945990267178,0.67721532872841,0.445499357521618,0.634938674894722,0.789188333985942,NA,0.388287758016918,0.688415808114798,0.763003511018677,0.16556025104728,0.634978722473292,0.089879594664723,0,0.753494982760461,0.597177659862195,0.347458044477189,0.301910991366093,0.639769060206505,3.7102007014863e-07,2.35254205379216e-96,0.7489833748057,0.753266301648551,0.571355478169855,0.185343391204106,0.683462383900312
"COLO-201",0.413827622841201,0.991181921861708,0.774962075341391,0.5,0.391331936908606,0.131866865464716,0.322387183702708,0.5,0.219813347009543,0.545919593965158,0.821493580315316,0.615106995755637,NA,0.388287758016918,0.487600541092099,0.763003511018677,0.16556025104728,0.766480477982631,0,0.32381132869637,0.154945990267178,0.597177659862195,0.5,0.404883005275136,0.448697725572098,3.7102007014863e-07,2.35254205379216e-96,0.842665432020741,0.126577556537784,0.457112320985582,0.371280443161023,0.209296413500923
"COLO-205",0.403001045750355,0.804772767501446,0.902870580974035,0.793548322114184,0.528573897214767,0.014652059837859,0.322387183702708,0.5,0.219813347009543,0.293829921905947,0.766207244538405,0.613373343014597,NA,0.388287758016918,0.5233642636582,0.943594856413756,0.0635613393754059,0.710827549089643,0.21994647519249,0.204302201818047,0.32278467127159,0.597177659862195,0.5,0.23975737088189,0.475036594087121,3.7102007014863e-07,2.35254205379216e-96,0.7489833748057,0.35481711543774,0.791133240471908,0.69132956351298,0.209296413500923
"COLO-320",0.537860825066974,0.00193811777134484,0.649021879880022,0.67721532872841,0.286843950093559,0.603987831999012,0.0251737484662263,0.32278467127159,0.842182610430975,0.724041610649767,0.134007382676316,0.0533541456067523,NA,0.885314912489387,0.511913266256496,0.32278467127159,0.411870604106641,0.631501755509339,0,0,0.32278467127159,0.67721532872841,0.42615086704039,0.534760065941171,0.00189718749372926,3.7102007014863e-07,2.35254205379216e-96,0.384044593878893,0.058622671711461,0.537850250901109,0.371280443161023,0.209296413500923
"COLO-320-HSR",0.456635171375694,0.00193811777134484,0.532849706546064,0.865103793383268,0.327472995133589,0.578726347229427,0.138449413039748,0.64690086773546,0.842182610430975,0.672116027409317,0.415935327268172,0.0721230103855234,NA,0.904406991364361,0.247218655991189,0.5,0.5,0.464281881032979,0.0927191911671718,0,0.32278467127159,0.388287758016918,0.191121208986918,0.199674039227487,0.00189718749372926,3.7102007014863e-07,2.35254205379216e-96,0.217547466845336,0.058622671711461,0.457112320985582,0.390522992457286,0.267865440649059
"COLO-678",0.254659027678196,0.999750896124632,0.622428031850107,0.793548322114184,0.415350802153087,0.302505487169928,0.260985345551839,0.64690086773546,0.67721532872841,0.499268729907393,0.5,0.148997982777124,NA,0.388287758016918,0.835116199534935,0.32278467127159,0.582160650253424,0.90205945415195,0.131671226236679,0.32381132869637,0.826463000262987,0.5,0.42615086704039,0.892868042466236,0.144194024937337,3.7102007014863e-07,2.35254205379216e-96,0.924213737218512,0.742810490025358,0.586670883387898,0.691916106291822,0.898604584716254
"COLO-679",0.587477202238533,0.00193811777134484,0.757689172498938,0.277816166751039,0.510326396542161,0.721336711813905,0.718334639364521,0.753494982760461,0.219813347009543,0.465747305034506,0.134007382676316,0.368392697466891,NA,0.161104303491401,0.247218655991189,0.161390368907288,0.5,0.634978722473292,0,0,0.32278467127159,0.270498921635081,0.817376094646718,0.814875636488985,0.5,0.999999489980031,2.35254205379216e-96,0.147740703224741,0.614888706252416,0.256418338217242,0.600560696760631,0.5
"COLO-783",0.540379919927119,0.933785827426758,0.465914168205283,0.67721532872841,0.468896857185238,0.94652756195214,0.655242454778621,0.5,0.780186652990457,0.57654259595545,0.730152176294355,0.312498043657077,NA,0.830508888033501,0.0973516627291534,0.32278467127159,0.582160650253424,0.411392335635795,0.0901796026853209,0,0.826463000262987,0.270498921635081,0.67721532872841,0.710365352612747,0.448697725572098,0.99995231446522,2.35254205379216e-96,0.279925378558447,0.600893694011024,0.571355478169855,0.716216372098969,0.87397296953439
"COLO-792",0.620875972674103,0.00193811777134484,0.933366469790274,0.0909766290281606,0.616520309917832,0.738908923538725,0.701314530120112,0.32278467127159,0.842182610430975,0.549839949505612,0.415935327268172,0.100252373412206,NA,0.075979640986368,0.583555337915466,0.32278467127159,0.769957444946584,0.330695184453644,0,0,0.32278467127159,0.161104303491401,0.42615086704039,0.860676310404384,0.577046524333445,0.944319506521627,2.35254205379216e-96,0.583020286354402,0.705136086209132,0.32278467127159,0.110334814720328,0.5
"COLO-800",0.537654749107691,0.00193811777134484,0.395040749034267,0.5,0.592465857582244,0.749999991219381,0.67721532872841,0.154945990267178,0.5,0.527291503955396,0.0595844908484762,0.283732235988948,NA,0.161104303491401,0.20025974031255,0.0564051435862443,0.322784671271591,0.48898225146849,0.0399319821192265,0,0.32278467127159,0.270498921635081,0.625963023503965,0.710365352612747,0.329837104740155,0.999991278901999,2.35254205379216e-96,0.5,0.374627218081379,0.672765928732492,0.631501755509339,0.209296413500923
"COLO-829",0.526042490183257,0.00193811777134484,0.465914168205283,0.67721532872841,0.435071944982679,0.721336719234325,0.787007956813953,0.64690086773546,0.67721532872841,0.356240809819758,0.0595844908484762,0.476679549918513,NA,0.270498921635081,0.698956019778611,0.32278467127159,0.106796012544065,0.244172461159435,0.0399319821192265,0,0.32278467127159,0.5,0.5,0.281054280353414,0.462040151682683,0.944319506521627,2.35254205379216e-96,0.465745870011658,0.785387349187997,0.433541578107102,0.657917585584936,0.780735090965235
"CP50-MEL-B",0.596776450901698,0.00193811777134484,0.5,0.793548322114184,0.522710546535715,0.933073865640205,0.616715627691692,0.64690086773546,0.780186652990457,0.285354478936028,0.572992885632229,0.201503192295699,NA,0.597177659862195,0.269398185203867,0.763003511018677,0.582160650253424,0.575848826616351,0.0632906942384417,0,0.826463000262987,0.956703183927009,0.625963023503965,0.404883005275136,0.721208932112122,0.999999998710071,1,0.42731565471095,0.67721532872841,0.692019302765558,0.834869138753198,0.758365010773717
"CP66-MEL",0.645386018725417,0.00193811777134484,0.902870580974035,0.67721532872841,0.500149700635241,0.60398785688718,0.67721532872841,0.5,0.67721532872841,0.501966090450494,0.730152176294355,0.119021238190977,NA,0.597177659862195,0.330790630987498,0.763003511018677,0.411870604106641,0.818475500832957,0,0,0.826463000262987,0.791284248958305,0.859700975326394,0.219512791837638,0.690712823584994,0.999999999992585,1,0.384044593878893,0.766789678644414,0.479232379028662,0.635676634619993,0.717293021039706
"CP67-MEL",0.451013488422725,0.00193811777134484,0.774962075341391,0.67721532872841,0.818813577297768,0.7995448766586,0.649319458383455,0.826463000262987,0.5,0.465222627353067,0.0135807777499205,0.509087006824457,NA,0.67721532872841,0.799428427412375,0.838609631092712,0.5,0.48898225146849,0.24875787184608,0,0.753494982760461,0.597177659862195,0.890462840357284,0.652802287440191,0.212177987165827,0.99995231446522,1,0.279925378558447,0.79519239675993,0.408419745937597,0.70503133200321,0.90147285460562
"CW-2",0.390924711014444,0.804772767501446,0.739026464125816,0.0909766290281606,0.463852434075161,0.250000086556842,0.450647368693204,0.154945990267178,0.5,0.545983821013044,0.5,0.521314968313156,NA,0.5,0.330790630987498,0.5,0.322784671271591,0.408285100286338,0,0.204302201818047,0.32278467127159,0.161104303491401,0.67721532872841,0.32278467127159,0.487688882020081,3.7102007014863e-07,2.35254205379216e-96,0.869981807376327,0.749583887405891,0.823828732302375,0.185343391204106,0.565736202161925
"DiFi",0.664328531354135,0.999999999946002,0.774962075341391,0.67721532872841,0.327472995133589,0.250000086556842,0.322387183702708,0.5,0.780186652990457,0.350104194901334,0.730152176294355,0.499048548374671,NA,0.791284248958305,0.703995258696524,0.651697653232702,0.5,0.573768490374322,0,0.64762265739274,0.154945990267178,0.270498921635081,0.347458044477189,0.364255377730366,0.70344356672111,3.7102007014863e-07,2.35254205379216e-96,0.717147919761872,0.364940218119609,0.717546831410488,0.369995592738511,0.0882935322443204
"G-361",0.601375587311436,0.00193811777134484,0.622428031850107,0.865103793383268,0.411392335635795,0.631838779936175,0.436967576329868,0.753494982760461,0.5,0.772044251905105,0.415935327268172,0.147093358771876,NA,0.388287758016918,0.534375715175356,0.32278467127159,0.812749035416373,0.408628952139991,0.0399319821192265,0,0.753494982760461,0.270498921635081,0.876281427352125,0.851872653728505,0.297119175676505,0.00250218075611077,2.35254205379216e-96,0.42731565471095,0.5,0.182723039639633,0.83464838029802,0.732134559350941
"G-MEL",0.664850727907528,0.00193811777134484,0.252398121838008,0.00991701975663521,0.524904430787976,0.968008026563358,0.5,0.0455305550137385,0.219813347009543,0.324766563421167,0.134007382676316,0.155761221370929,NA,0.00321233014806859,0.150042097872469,0.5,0.16556025104728,0.481419335634125,0,0,0.0455305550137385,0.885314912489387,0.566893453202426,0.481867506197759,0.829561438231375,0.999999999403539,1,0.384044593878893,0.727837690674965,0.700945921319201,0.0444903679852236,0.373462085053165
"GAK",0.459684040123416,0.00193811777134484,0.32278467127159,0.67721532872841,0.27530693616319,0.978174939896951,0.655242454778621,0.64690086773546,0.5,0.257824636682334,0.32278467127159,0.176935680685065,NA,0.5,0.811261823391879,0.5,0.16556025104728,0.112475854141347,0,0,0.5,0.67721532872841,0.5,0.481867506197759,0.263531041104617,3.7102007014863e-07,1,0.335181352192119,0.723162160009381,0.256418338217242,0.511953032396426,0.745784543998266
"Geo",0.581334737076709,0.421375116517006,0.252398121838008,0.67721532872841,0.661465263193013,0.131866865464716,0.375907277115012,0.154945990267178,0.780186652990457,0.271421838819808,0.796294463866677,0.607212008704079,NA,0.270498921635081,0.461241260062497,0.651697653232702,0.16556025104728,0.465673906926936,0,0,0.32278467127159,0.67721532872841,0.123718572647875,0.199674039227487,0.690712823584994,3.7102007014863e-07,2.35254205379216e-96,0.644551335738416,0.472123459451976,0.717546831410488,0.487241162252146,0.267865440649059
"GP2d",0.492757426741489,0.995197993802229,0.622428031850107,0.5,0.439857464146417,0.344594927803791,0.21512052584703,0.64690086773546,0.5,0.677374950534875,0.860634770407751,0.117659278592726,NA,0.741093667382446,0.5,0.5,0.655179831665389,0.867992941038195,0,0,0.64690086773546,0.597177659862195,0.5,0.444202965936873,0.715456787715191,3.7102007014863e-07,2.35254205379216e-96,0.802623701868948,0.333107875342936,0.717546831410488,0.411392335635795,0.534509292531828
"GP5d",0.593144029441604,0.998591562211034,0.5,0.67721532872841,0.452084779624884,0.324344757784649,0.190615513608597,0.753494982760461,0.67721532872841,0.572964718122314,0.918298081100709,0.151686826533553,NA,0.885314912489387,0.645923579816629,0.838609631092712,0.5,0.631501755509339,0,0.204302201818047,0.64690086773546,0.741093667382446,0.267495150411608,0.260304551095159,0.79443322009379,0.00250218075611077,2.35254205379216e-96,0.824712034759595,0.29614485331624,0.700945921319201,0.411392335635795,0.565736202161925
"HCC2998",0.569463307013324,0.995197993802229,0.739026464125816,0.865103793383268,0.646758637499421,0.250000086556842,0.436967576329868,0.826463000262987,0.5,0.576690412002207,0.634938674894722,0.49534892837532,NA,0.597177659862195,0.811261823391879,0.921543012540837,0.655179831665389,0.953844812191097,0.113415421025832,0,0.753494982760461,0.67721532872841,0.42615086704039,0.481867506197759,0.586825132094319,3.7102007014863e-07,2.35254205379216e-96,0.739121190902917,0.401384015966396,0.256418338217242,0.582068758968585,0.32278467127159
"HCT-116",0.43541107563182,0.991181921861708,0.843409071425727,0.793548322114184,0.411392335635795,0.221336807151365,0.110887560682924,0.826463000262987,0.5,0.59898718960201,0.730152176294355,0.653760699003518,NA,0.597177659862195,0.799428427412375,0.651697653232702,0.238800249092471,0.573665710523903,0.136571674751369,0.474375022248671,0.64690086773546,0.270498921635081,0.347458044477189,0.260304551095159,0.0813742451883707,3.7102007014863e-07,2.35254205379216e-96,0.5,0.688813176514352,0.651418235258924,0.559827808003642,0.683462383900312
"HCT-15",0.750447558648676,0.958905668773633,0.67394514083179,0.277816166751039,0.729032511034005,0.344594927803791,0.190615513608597,0.5,0.5,0.62548965862692,0.686863357163565,0.542483363463553,NA,0.5,0.311166945945779,0.888561669630805,0.717746304570559,0.790987629782004,0.153170288903165,0.204302201818047,0.5,0.67721532872841,0.566893453202426,0.301910991366093,0.487688882020081,3.7102007014863e-07,2.35254205379216e-96,0.789578882520493,0.478023320154374,0.662372379646375,0.189594907428917,0.5
"HMV-II",0.576406312038933,0.0362422474611415,0.594168284309893,0.5,0.444478172232687,0.892504827024214,0.623665896034186,0.64690086773546,0.5,0.556440306187531,0.225756938270399,0.135695439157888,NA,0.388287758016918,0.123918713227993,0.763003511018677,0.717746304570559,0.48898225146849,0.0632906942384417,0,0.826463000262987,0.962285716699142,0.902636233978307,0.180345970612826,0.842651178873637,0.999991278901999,1,0.465745870011658,0.625241150136995,0.717546831410488,0.311070672874085,0.824113561255479
"Hs-939-T",0.513636009111666,0.0362422474611415,0.739026464125816,0.277816166751039,0.585515525717365,0.940245292003205,0.72231457757985,0.32278467127159,0.5,0.542615347085556,0.134007382676316,0.467080119918804,NA,0.270498921635081,0.175528264041175,0.5,0.411870604106641,0.542894091145134,0.268442631528292,0,0.32278467127159,0.67721532872841,0.67721532872841,0.699759323762395,0.690712823584994,0.999991278901999,2.35254205379216e-96,0.384044593878893,0.732327108864759,0.32278467127159,0.540574841022654,0.594014358433888
