"","AKT","betacatenin","MEK","MKK4","mTORC1","mTORC2","p53","PI3K","PTEN","PTENgene","Rac","Raf","Ras","RTPK","RTPKgene"
"451Lu",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA
"A101D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"A2058",NA,NA,1,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA
"A375",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"C2BBe1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"CaR-1",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"CCK-81",NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"CHL-1",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"CL-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"CL-34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"CL-40",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA
"COLO-205",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"COLO-320-HSR",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"COLO-678",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"COLO-679",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"COLO-783",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"COLO-792",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COLO-800",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA
"COLO-829",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"CP50-MEL-B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"CP66-MEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CP67-MEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"CW-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"G-361",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"G-MEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"GAK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GP5d",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
"HCC2998",NA,NA,NA,0,1,1,NA,NA,0,0,NA,1,1,NA,NA
"HCT-116",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
"HCT-15",NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,1,NA,NA
"HMV-II",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"Hs-939-T",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"Hs-940-T",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HT-115",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"HT-144",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"HT-29",NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,1,NA,NA,NA
"HT55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"IGR-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
"IGR-37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"IPC-298",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IST-MEL1",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA
"K2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"KM12",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"LB2518-MEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LB373-MEL-D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LoVo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"LOXIMVI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"LS-123",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA
"LS-180",NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
"LS-411N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"LS-513",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
"LS1034",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA
"M14",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA
"MDST8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"MEL-HO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"MEL-JUSO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mewo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MMAc-SF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"MZ2-MEL",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"MZ7-mel",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"NCI-H508",NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,1,NA,NA,NA
"NCI-H747",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA
"RCM-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"RKO",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA
"RPMI-7951",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"RVH-421",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"SH-4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"SK-CO-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"SK-MEL-1",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"SK-MEL-2",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"SK-MEL-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"SK-MEL-28",NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,1,NA,NA,NA
"SK-MEL-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"SK-MEL-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"SK-MEL-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"SK-MEL-5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1
"SNU-1040",1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,1
"SNU-175",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SNU-407",NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,1
"SNU-61",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA
"SNU-81",NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,1,NA,NA
"SNU-C1",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SNU-C2B",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,1,1
"SNU-C5",NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,1,NA,NA,NA
"SW1116",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"SW1417",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"SW1463",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA
"SW48",NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1
"SW620",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA
"SW626",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"SW837",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA
"SW948",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
"T84",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
"UACC-257",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"UACC-62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"VMRC-MELG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"WM-115",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"WM1552C",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA
"WM278",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"WM35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"WM793B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
